seed,comparison_group,outcome,generation,average_directional_bias,average_receiver_attention,average_sender_transposition,average_receiver_transposition,average_min_transposition,average_transposition_gap,average_comb_tilt,average_comb_orientation,comb_orientation_alignment,average_search_limit,average_success,average_payoff
97,unsuccessful,flat,55,0.671,0.890,0.178,0.222,0.178,0.045,0.240,0.940,0.121,6.435,0.588,5.787
97,unsuccessful,flat,56,0.612,0.868,0.209,0.248,0.209,0.039,0.240,0.576,0.036,6.218,0.569,5.579
97,unsuccessful,flat,57,0.687,0.855,0.185,0.234,0.185,0.049,0.293,0.429,0.043,6.329,0.554,5.411
97,unsuccessful,flat,58,0.677,0.865,0.168,0.210,0.168,0.042,0.264,0.568,0.168,6.313,0.569,5.598
97,unsuccessful,flat,59,0.666,0.899,0.171,0.217,0.171,0.046,0.315,1.261,0.242,6.322,0.559,5.557
97,unsuccessful,flat,60,0.697,0.865,0.181,0.205,0.181,0.025,0.315,1.056,0.178,6.552,0.575,5.723
97,unsuccessful,flat,61,0.745,0.866,0.200,0.216,0.200,0.015,0.340,1.414,0.159,6.853,0.576,5.728
97,unsuccessful,flat,62,0.795,0.896,0.225,0.215,0.215,0.010,0.338,1.710,0.121,6.844,0.583,5.800
97,unsuccessful,flat,63,0.816,0.896,0.175,0.193,0.175,0.018,0.316,1.683,0.222,6.855,0.599,5.973
97,unsuccessful,flat,64,0.808,0.908,0.174,0.202,0.174,0.028,0.296,1.610,0.159,6.992,0.602,5.972
97,unsuccessful,flat,65,0.776,0.890,0.187,0.218,0.187,0.031,0.323,1.942,0.071,6.874,0.597,5.952
97,unsuccessful,flat,66,0.782,0.882,0.170,0.200,0.170,0.030,0.286,2.413,0.171,7.053,0.602,5.909
97,unsuccessful,flat,67,0.790,0.888,0.138,0.189,0.138,0.051,0.293,2.725,0.125,6.912,0.605,6.022
97,unsuccessful,flat,68,0.796,0.878,0.120,0.168,0.120,0.049,0.322,2.450,0.184,7.079,0.602,5.967
97,unsuccessful,flat,69,0.785,0.866,0.137,0.177,0.137,0.039,0.300,1.913,0.184,6.927,0.601,5.939
97,unsuccessful,flat,70,0.806,0.844,0.164,0.190,0.164,0.027,0.305,2.015,0.136,6.891,0.601,5.977
97,unsuccessful,flat,71,0.788,0.871,0.166,0.204,0.166,0.038,0.298,1.576,0.213,6.847,0.592,5.855
97,unsuccessful,flat,72,0.780,0.848,0.169,0.181,0.169,0.013,0.350,1.643,0.113,6.856,0.588,5.894
97,unsuccessful,flat,73,0.772,0.849,0.175,0.172,0.172,0.004,0.360,1.729,0.166,6.783,0.589,5.893
97,unsuccessful,flat,74,0.774,0.849,0.167,0.185,0.167,0.018,0.331,1.583,0.266,6.769,0.594,5.919
97,unsuccessful,flat,75,0.806,0.842,0.197,0.214,0.197,0.017,0.319,1.531,0.247,6.783,0.596,5.937
97,unsuccessful,flat,76,0.838,0.831,0.192,0.216,0.192,0.024,0.324,0.943,0.217,6.955,0.595,5.903
97,unsuccessful,flat,77,0.861,0.831,0.213,0.229,0.213,0.016,0.312,0.960,0.268,6.778,0.586,5.788
97,unsuccessful,flat,78,0.869,0.833,0.183,0.188,0.183,0.005,0.274,1.015,0.125,6.808,0.601,5.947
97,unsuccessful,flat,79,0.874,0.825,0.173,0.175,0.173,0.002,0.268,0.817,0.130,6.721,0.600,5.946
97,unsuccessful,flat,80,0.863,0.807,0.180,0.214,0.180,0.035,0.285,0.447,0.205,6.615,0.591,5.857
97,unsuccessful,flat,81,0.851,0.802,0.183,0.244,0.183,0.060,0.265,0.726,0.093,6.393,0.580,5.712
97,unsuccessful,flat,82,0.843,0.806,0.176,0.257,0.176,0.081,0.262,3.103,0.050,6.373,0.582,5.737
97,unsuccessful,flat,83,0.841,0.812,0.177,0.218,0.177,0.041,0.251,0.354,0.062,6.088,0.573,5.647
97,unsuccessful,flat,84,0.844,0.778,0.185,0.225,0.185,0.039,0.247,3.053,0.190,6.135,0.568,5.583
97,unsuccessful,flat,85,0.820,0.755,0.208,0.182,0.182,0.026,0.241,2.041,0.035,6.349,0.570,5.556
97,unsuccessful,flat,86,0.807,0.787,0.215,0.198,0.198,0.017,0.279,1.876,0.047,6.562,0.575,5.624
97,unsuccessful,flat,87,0.817,0.830,0.228,0.211,0.211,0.017,0.281,0.610,0.096,6.649,0.587,5.789
97,unsuccessful,flat,88,0.845,0.837,0.184,0.179,0.179,0.005,0.297,2.343,0.073,6.772,0.598,5.943
97,unsuccessful,flat,89,0.826,0.815,0.158,0.139,0.139,0.019,0.349,2.365,0.320,6.506,0.573,5.743
97,unsuccessful,flat,90,0.835,0.820,0.179,0.161,0.161,0.018,0.305,2.205,0.246,6.489,0.580,5.746
